timestamp,2025-08-24_23-47-32
vocab_size,26
hidden_size,128
embed_dim,64
seq_len,64
batch_size,16
learning_rate,0.001
grad_clip_norm,1.0
train_duration_sec,18.67
num_steps,200
cpu,"Intel64 Family 6 Model 142 Stepping 12, GenuineIntel"
ram,7.75 GB
os,Windows-10-10.0.22621-SP0
jax_backend,cpu
jax_version,0.6.2
flax_version,0.10.7
optax_version,0.2.5
python_version,"3.10.11 (tags/v3.10.11:7d4cc5a, Apr  5 2023, 00:38:17) [MSC v.1929 64 bit (AMD64)]"
numpy_version,2.2.6

step,loss,hidden_state_norm,embed_norm,eval_loss,eval_ppl
0,3.271912097930908,3.24468994140625,3.225719928741455,0.23721258342266083,1.267710566520691
1,3.6759791374206543,3.7529044151306152,3.842179775238037,0.23168711364269257,1.2607252597808838
2,10.0,10.0,10.0,0.23642317950725555,1.2667102813720703

final,,,,0.23831713199615479,1.2691116333007812
